id,name,category,specialises_in,address,area,area_detail,city,country,price_tier,price_guide,access,instagram,website,materials,occasions,multiple_locations,status,note,last_reviewed
moulin-rose,Moulin Rose,Womenswear,,48 Trần Quang Diệu,D3,D3 · P.14,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/moulinrose.stu,,,bday,,recorded,On the Trần Quang Diệu design strip.,2026-08-28
tartan-studios,Tartan Studios,Womenswear,,70 Trần Quang Diệu,D3,D3,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/tartan_studios,,,,,recorded,“What creates you creates happiness.”,2026-08-28
sassy-sis,Sassy Sis,Womenswear,,441/36 Nguyễn Đình Chiểu,D3,D3 · P.5,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/sassysis_br,,,,,recorded,10:00–20:30 daily.,2026-08-28
so-dope-club,So Dópe Club,Womenswear,,"1F, 353 Võ Văn Tần + 97 Trần Quang Diệu",D3,D3 · P.5,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/sodope.club,,,,,recorded,Streetwear-leaning; two D3 doors.,2026-08-28
18-again,18 Again,Womenswear,,52 Trần Quang Diệu,D3,D3 · P.14,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/18again.official,,,,,confirm-first,Orders routed via @eighteen.loveyou for now. 10:00–21:45.,2026-08-28
baabeeboo,BaaBeeBoo,Womenswear,,"2F, 6 Trần Quang Diệu",D3,D3 · P.14,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/baabeeboo.club,,,,,recorded,Above Kathy Atelier. 13:30–21:00.,2026-08-28
cherieon,Chérieon,Womenswear,,76 Trần Quang Diệu + Vincom Đồng Khởi B2,D3 / D1,D3 / D1,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/cherieon_official,,,night; bday,,recorded,“Heaven dress in temptation.”,2026-08-28
caleelilou,caleélilou,Womenswear,,136/5 Trần Quang Diệu,D3,D3,Ho Chi Minh City,Vietnam,premium,,by appointment,https://instagram.com/caleelilou.studio,,,bday,,recorded,Softly feminine; fitting by appointment.,2026-08-28
la-vierge,La Vierge,Womenswear,,225/6 Nguyễn Đình Chiểu,D3,D3 · P.5,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/lavierge.vn,,,night; bday,,recorded,/lavjɛʁʒ/ Where every touch ignites desire. Ships worldwide.,2026-08-28
chan-club,Chan Club,Womenswear,,154 Trần Quang Diệu,D3,D3 · P.14,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/chanclub.vn,,,,,recorded,"Based in Việt Nam, ships worldwide. Các sản phẩm bên shop là hàng thiết kế và tự sản xuất — không bán trên sàn thương mại điện tử.",2026-08-28
rever,Rêver,Womenswear,,91 Trần Quang Diệu,D3,D3 · P.14,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/rever.clothings,,,,,recorded,New drop weekly.,2026-08-28
mooris,Mooris,Luxury,,"234 Võ Văn Tần, P.5, Q.3",D3,D3 · P.5,Ho Chi Minh City,Vietnam,luxury,,walk-in store,https://instagram.com/moorisclothing,,,,,recorded,DM for orders — ships worldwide. Hotline +84 765 793 515.,2026-08-28
11-garmentory,11 Garmentory,Womenswear,,"117B Nguyễn Đình Chính, P. Cầu Kiệu, Phú Nhuận",Phú Nhuận,Phú Nhuận,Ho Chi Minh City,Vietnam,premium,,sold via a stockist or hub,https://instagram.com/11garmentory,,,,,recorded,Multi-brand creative hub + café. 10:00–21:30.,2026-08-28
duu-stu,Duu Stu,Womenswear,,"117B Nguyễn Đình Chính, P. Cầu Kiệu, Phú Nhuận",Phú Nhuận,Phú Nhuận,Ho Chi Minh City,Vietnam,premium,,sold via a stockist or hub,https://instagram.com/duu.stu,,,,,recorded,"“Lazy but chic” flagship — ground floor, 11 Garmentory.",2026-08-28
badchoices,Badchoices,Womenswear,,"117B Nguyễn Đình Chính, P. Cầu Kiệu, Phú Nhuận",Phú Nhuận,Phú Nhuận,Ho Chi Minh City,Vietnam,mid,,sold via a stockist or hub,https://instagram.com/badchoices.vn,,,,,recorded,Booth @ 11 Garmentory. “Bad choices make good stories.”,2026-08-28
moon-me,Moon Me,Womenswear,,330/1D Phan Đình Phùng,Phú Nhuận,Phú Nhuận,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/moon_me.studio,,circular,,,recorded,Upcycled/custom 2nd-hand; opened May 2026.,2026-08-28
l-espoir,L'Espoir,Womenswear,,489A/4 Huỳnh Văn Bánh,Phú Nhuận,Phú Nhuận,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/lespoir.com.vn,,,,,recorded,9:30–22:00; nationwide COD.,2026-08-28
liniss,Liniss,Womenswear,,254 Huỳnh Văn Bánh,Phú Nhuận,Phú Nhuận,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/liniss.official,https://liniss.com/,,night,,recorded,"Since 2018 — modern feminine RTW on sensuality, feminism & independence.",2026-08-28
by-vee,By Vee,Womenswear,,50 Trần Huy Liệu,Phú Nhuận,Phú Nhuận,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/byvee.style,,,,,recorded,9:00–22:00; cheaper in-store than Shopee.,2026-08-28
tiela,Tiela,Womenswear,,42 Trần Huy Liệu,Phú Nhuận,Phú Nhuận,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/tiela.official,,,,,recorded,“Made for your inner muse.” 9:00–22:00.,2026-08-28
chou-chou,Chou Chou,Womenswear,,100A5 Thích Quảng Đức + 324 Huỳnh Văn Bánh,Phú Nhuận,Phú Nhuận,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/__chouchou.official,,,,,recorded,Two Phú Nhuận branches.,2026-08-28
the-fance,The Fancé,Womenswear,,111C Hoa Lan + 11 Garmentory,Phú Nhuận,Phú Nhuận,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/thefance.official,,,,,recorded,Also a Hanoi floor at Lotte Center.,2026-08-28
nosbyn-studio,Nosbyn Studio,Womenswear,,06 Đặng Hữu Phổ,Thủ Đức,Thủ Đức · Thảo Điền,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/nosbyn_studio,,,,,recorded,10:00–20:00 daily; worldwide shipping.,2026-08-28
the-country-boutiques,The Country Boutiques,Womenswear,,"2F, 123 Trần Hưng Đạo",Q5,Q5 · Chợ Lớn,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/thecountry_boutiques,,,,,recorded,Worldwide delivery.,2026-08-28
glamdoll,Glamdoll,Womenswear,,346 Lê Văn Sỹ,Tân Bình,Tân Bình,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/glamdoll_0fficial,,,,,recorded,Long-running local RTW.,2026-08-28
olv,OLV,Womenswear,,"Flagship 127–129 Nguyễn Trãi, D1",Nationwide,Nationwide · 24 stores,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/olv.officiel,,,,,recorded,24 stores VN-wide; see olv.vn/pages/our-stores.,2026-08-28
joven,Joven,Womenswear,,joven.vn store locator,HCMC,HCMC · 9 stores,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/joven.fashion,,,,,recorded,9 stores across HCMC.,2026-08-28
ivy-moda,IVY moda,Womenswear,,ivymoda.com/page/cuahang,Nationwide chain,Nationwide chain,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/ivy_moda,,,,,recorded,Major nationwide womenswear chain.,2026-08-28
laviem,LAVIEM,Womenswear,,289 Võ Văn Tần (HCMC) +4 more,HCMC + Hanoi,HCMC + Hanoi,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/laviemvn,,,,,recorded,5 stores incl. Hanoi & Thái Nguyên.,2026-08-28
hapas,Hapas,Womenswear,,hapas.vn/pages/dia-diem-cua-hang,Multi-branch,Multi-branch,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/hapas.vn,,,,,recorded,“Pretty Normal” everyday chain.,2026-08-28
dirtycoins,DirtyCoins,Menswear,,"The New Playground, 26 Lý Tự Trọng",D1,D1 · Bến Nghé,Ho Chi Minh City,Vietnam,mid,tees 300–700k₫,walk-in store,https://instagram.com/dirtycoins.vn,,,,yes,recorded,"Arguably Vietnam's biggest streetwear name — heavy branding, hip-hop-adjacent. Destination flagship at 561 Sư Vạn Hạnh (D10); also TNP @ Vincom Đồng Khởi, Grand Park & Aeon Bình Tân. 9:00–22:00.",2026-08-28
icondenim,ICONDENIM,Menswear,,12–12bis Cách Mạng Tháng 8 + 261 Nguyễn Trãi,D1,D1 · Bến Thành,Ho Chi Minh City,Vietnam,mid,jeans 500–700k₫,walk-in store,https://instagram.com/icondenim.official,,,,yes,recorded,"Denim-first men's casual chain — one of HCMC's largest local menswear retailers; 13 city stores (D7, Tân Phú, Bình Thạnh…). 8:30–22:00.",2026-08-28
degrey,Degrey,Menswear,,24 Hồ Biểu Chánh,Phú Nhuận,Phú Nhuận,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/degrey.official,,,,yes,recorded,Gen-Z streetwear mixing Vietnamese cultural motifs; also 67–69 Đường D10 (Tân Phú) + 382D Trần Hưng Đạo (D5 · Chợ Lớn).,2026-08-28
bad-habits,Bad Habits,Menswear,,22 Lê Thị Riêng + 42 Tôn Thất Thiệp + TNP,D1,D1 · Bến Thành,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/badhabitsstore.vn,,,,yes,recorded,"Saigon unisex streetwear (est. 2017) with Vietnamese-culture graphics; 4th door at 2 Trần Huy Liệu, Phú Nhuận. Also Hanoi, Cần Thơ & Bangkok.",2026-08-28
hades-studio,HADES Studio,Menswear,,B1 Vincom Đồng Khởi + 152 Trần Quang Diệu,D1 / D3,D1 / D3,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/hades.studio,,,,yes,recorded,"First-wave VN streetwear — darker, grunge-leaning design language. (Older lists citing Gò Vấp/Phạm Ngũ Lão branches are stale.)",2026-08-28
routine,Routine,Menswear,,523A Quang Trung,Gò Vấp,Gò Vấp,Ho Chi Minh City,Vietnam,mid,400–800k₫,walk-in store,https://instagram.com/routine_official,,,,yes,confirm-first,"Menswear-rooted, now VN's benchmark for office-to-weekend basics; 1,000 m² keystone store (May 2025) + Aeon Bình Tân & Tân Phú Celadon malls. 9:00–22:00 daily. See also Routine U Space (Q10) for the two-floor concept version.",2026-08-28
routine-u-space,Routine U Space,Womenswear,,583 Sư Vạn Hạnh,Q10,Q10 · Hòa Hưng,Ho Chi Minh City,Vietnam,mid,400–800k₫,walk-in store,https://instagram.com/routine_official,,,,,confirm-first,"Routine's two-floor concept space, and the rare Saigon store that is a whole afternoon rather than a stop — budget 2 hours. Ground: casual wear, accessories, café. Upstairs: streetwear, linen & silk pieces, plus a jewellery counter, bakery and ice cream. Pair it with DirtyCoins' destination flagship at 561, a few doors down.",2026-08-28
aristino,Aristino,Menswear,,"L2-17, Vincom Đồng Khởi, 72 Lê Thánh Tôn",D1,D1 · Đồng Khởi,Ho Chi Minh City,Vietnam,premium,shirts 700k–1.5M₫,walk-in store,https://instagram.com/aristino_official,,,event,yes,recorded,"K&G's premium men's brand — sharp shirts, polos & suiting-adjacent smart-casual; 30+ HCMC showrooms (Crescent Mall, Vincom Gò Vấp, D3/D5/Tân Bình). Mall showrooms 9:00–22:00.",2026-08-28
moi-dien,Môi Điên,Menswear,,28 Tôn Thất Thiệp,D1,D1 · Bến Nghé,Ho Chi Minh City,Vietnam,premium,~1–3M₫,walk-in store,https://instagram.com/moidienstudio,,circular,,,confirm-first,"Tom Trandt's cult experimental label — deconstructed tailoring, upcycling, unisex statement pieces. Call ahead ☎ 090 395 12 12.",2026-08-28
cao-minh-saigon,Cao Minh Saigon,Menswear,,74/6 Hai Bà Trưng,D1,D1,Ho Chi Minh City,Vietnam,luxury,from ~14M₫,by appointment,https://instagram.com/caominh1948,,,event,yes,recorded,"Vietnam's oldest tailoring house (est. 1948) — the prestige choice; heritage atelier villa at 193/13 Điện Biên Phủ, Bình Thạnh by appointment. ~9:00–18:00, reservations recommended.",2026-08-28
sir-tailor,SIR Tailor,Menswear,,207F Nguyễn Văn Thủ,D1,D1 · Đa Kao,Ho Chi Minh City,Vietnam,premium,from 7.9M₫,by appointment,https://instagram.com/sirtailorvn,,,event,,recorded,"Modern gentleman's atelier since 2013 — full-canvas suits from 7.9M₫ (Asian cloth) / 16.9M₫ (Italian). Fittings by appointment; 21–30 day turnaround, minimum two fittings.",2026-08-28
h-and-d-tailor,H&D Tailor,Menswear,,"Store No. 5, New World Saigon Hotel arcade, 76 Lê Lai",D1,D1 · Bến Thành,Ho Chi Minh City,Vietnam,premium,from ~6.5M₫,walk-in store,,,,event,,confirm-first,Third-generation master tailor Tạ Quốc Hưng — an expat & business-traveler standby for 20 years; tropical-weight wools a specialty. Mon–Sat ~9:00–19:00.,2026-08-28
le-thanh-hoa,Le Thanh Hoa,Bridal,,67 Sương Nguyệt Ánh,D1,D1 · Bến Thành,Ho Chi Minh City,Vietnam,couture,,by appointment,https://instagram.com/lethanhhoa_bridal,,,event,,recorded,Dresses Miss Universe VN; evening + bridal. Hanoi branch too.,2026-08-28
chung-thanh-phong,Chung Thanh Phong,Bridal,,189/1B Cống Quỳnh,D1,D1,Ho Chi Minh City,Vietnam,couture,,by appointment,https://instagram.com/chungthanhphongbridal,,,event,,recorded,VN's celebrity wedding-dress name.,2026-08-28
phan-huy,Phan Huy,Luxury,,"Showroom, Tân Bình (DM to book)",Tân Bình,Tân Bình,Ho Chi Minh City,Vietnam,couture,,by appointment,https://instagram.com/phanhuy.official,,,event,,recorded,Jan 2026: first Vietnamese on the official Paris Haute Couture calendar.,2026-08-28
sixdo,SIXDO,Luxury,,Flagship 147 Đồng Khởi (+11 more),D1,D1 · 12 HCMC stores,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/sixdovn,,,event; bday,,recorded,Đỗ Mạnh Cường's diffusion RTW chain — feminine floral dresses at scale. (His couture is the separate DMC label.),2026-08-28
valenciani,Valenciani,Luxury,,26 Lý Tự Trọng,D1,D1,Ho Chi Minh City,Vietnam,luxury,,walk-in store,https://instagram.com/valenciani1,,,event,,recorded,"Adrian Anh Tuấn's floaty, ultra-feminine gowns & resort — a red-carpet fixture.",2026-08-28
vungoc-and-son,VUNGOC&SON,Luxury,,85 Lê Thánh Tôn,D1,D1,Ho Chi Minh City,Vietnam,luxury,,walk-in store,https://instagram.com/vungocsonofficial,,,event,,recorded,"Vietnam's colourful duo — vivid, opulent red-carpet gowns for beauty queens.",2026-08-28
do-long,Đỗ Long,Luxury,,442 Võ Văn Tần,D3,D3 · Bàn Cờ,Ho Chi Minh City,Vietnam,luxury,,walk-in store,https://instagram.com/dolongofficial,,,event,,recorded,High-end women's RTW + evening gowns for celebs & pageant queens.,2026-08-28
linh-nga-couture,Linh Nga Couture,Bridal,,284A Nam Kỳ Khởi Nghĩa,D3,D3 · Võ Thị Sáu,Ho Chi Minh City,Vietnam,couture,,by appointment,https://instagram.com/linhngacouture,,,event,,recorded,Haute-couture wedding gowns + heritage eveningwear; also a Hanoi flagship.,2026-08-28
li-lam-lam,LI LAM / LAM,Luxury,,71 Mạc Thị Bưởi + 76A Lê Lợi + Crescent Mall,D1 / D7,D1 / D7,Ho Chi Minh City,Vietnam,luxury,,walk-in store,https://instagram.com/lamboutiquevn,,,event,,recorded,"Minimalist, sensual, fluid womenswear; the layered organza Timeless skirt.",2026-08-28
gia-studios,GIA Studios,Luxury,,125 Hai Bà Trưng,D1,D1,Ho Chi Minh City,Vietnam,luxury,,walk-in store,https://instagram.com/gia_studios,,,event,,recorded,Lâm Gia Khang's quiet luxury — craft-driven minimalism; stocked at Lane Crawford & Farfetch.,2026-08-28
fanci-club,Fancì Club,Luxury,,186 Nguyễn Văn Hưởng,Thủ Đức,Thủ Đức · Thảo Điền,Ho Chi Minh City,Vietnam,luxury,,walk-in store,https://instagram.com/fanci.club,,,night; bday; event,,recorded,"Cult Y2K corsetry & rosette dresses; worn by Bella Hadid, Hailey Bieber, BLACKPINK. 10:00–21:00.",2026-08-28
minh-tuan-couture,Minh Tuan Couture,Luxury,,416/39/13 Dương Quảng Hàm,Gò Vấp,Gò Vấp,Ho Chi Minh City,Vietnam,couture,,by appointment,https://instagram.com/ntk_minhtuan.nguyen,,,event,,recorded,The beauty-queens' designer — hand-beaded gowns & national costumes (H'Hen Niê).,2026-08-28
nguyen-hoang-tu,Nguyễn Hoàng Tú,Luxury,,Appointment / DM — no public address,By appointment,By appointment,Ho Chi Minh City,Vietnam,luxury,,by appointment,https://instagram.com/nguyenhoangtuofficial,,,event,,recorded,"Conceptual artisanal womenswear, sculptural hand-sewing; relaunched May 2026. Confirm address by DM.",2026-08-28
metiseko,Metiseko,Luxury,,157 Đồng Khởi,D1,D1 · Sài Gòn ward,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/metiseko,,cotton; silk,,,recorded,Sustainable print-driven organic-cotton & natural-silk resort wear; controls its whole supply chain. Also Hội An & Hanoi. 8:30–21:30.,2026-08-28
caostu,CAOSTU,Luxury,,7/5 Kỳ Đồng + Vincom Đồng Khởi B1,D3,D3 · Nhiêu Lộc,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/caostu.official,,,,,recorded,"Sculptural layered construction, signature metal eyelets; gender-neutral.",2026-08-28
subtle-le-nguyen,Subtle Le Nguyen,Luxury,,Stocked at Rue Miche + L'Édition,D1,D1 · via Rue Miche,Ho Chi Minh City,Vietnam,premium,,sold via a stockist or hub,https://instagram.com/subtlelenguyen,,,,,recorded,Minimalist contemporary womenswear; own showroom in Hanoi. HCMC = stockist only.,2026-08-28
la-pham,La Phạm,Luxury,,"3F, 125D Lò Đúc",Hanoi,Hanoi,Hanoi,Vietnam,luxury,,walk-in store,https://instagram.com/laphamdesign,,hemp,,,recorded,"Indigenous-fibre luxury — hemp, pandan, hand-dyed brocade + ethnic-minority craft; Paris/London FW. Online/appt for Saigon.",2026-08-28
rue-des-chats,Rue Des Chats,Luxury,,"2 Cổ Tân, Tràng Tiền",Hanoi,Hanoi · Hoàn Kiếm,Hanoi,Vietnam,premium,,walk-in store,https://instagram.com/ruedeschats,,,event; bday,,recorded,Romantic Eurasian RTW with an upstairs tea salon (designer Anhuong Tran).,2026-08-28
ao-dai-vo-viet-chung,Áo Dài Võ Việt Chung,Tailoring & áo dài,,241–243 Nguyễn Đình Chiểu,D3,D3 · Bàn Cờ,Ho Chi Minh City,Vietnam,luxury,,walk-in store,,,silk,event,,recorded,30-year veteran couturier; luxury áo dài & silk gala wear for celebrities and queens.,2026-08-28
thuy-design-house,Thuy Design House,Tailoring & áo dài,,44B Lý Tự Trọng,D1,D1,Ho Chi Minh City,Vietnam,luxury,,walk-in store,https://instagram.com/thuydesignhouse,,,event,,recorded,VN's most famous artistic áo dài designer; painterly brocades.,2026-08-28
kinzu-ao-dai-song-toan,KINZU (Áo Dài Song Toàn),Tailoring & áo dài,,460 Lê Văn Sỹ,D3,D3 · P.14,Ho Chi Minh City,Vietnam,premium,,by appointment,,,,event,,recorded,"Fully made-to-measure áo dài; ~3.7–20M₫, 2–3 wks. ☎ 0933 848 943.",2026-08-28
le-saigonais,Le Saigonais,Tailoring & áo dài,,"1F, 77–79 Lý Tự Trọng",D1,D1,Ho Chi Minh City,Vietnam,premium,,walk-in store,,,,,,recorded,Modern áo dài + concept store with café (dieuANH).,2026-08-28
thai-tuan-silk,Thai Tuấn (silk),Tailoring & áo dài,,419–419A Hai Bà Trưng,D3,D3,Ho Chi Minh City,Vietnam,mid,,walk-in store,,,silk,,,recorded,Silk & jacquard by the metre — bring it to a tailor.,2026-08-28
